タイトル,プラットフォーム,配信開始日時,制作会社,URL
花織さんは転生しても喧嘩がしたい,アニメ放題,2026-07-11 12:00,ライデンフィルム,https://hanaorisan-anime.com/
文豪ストレイドッグス わん！２,dアニメストア,2026-07-02 00:00,ノーマッド,https://wan2.bungo-stray-dogs-wan.com/
文豪ストレイドッグス わん！２,ABEMA,2026-07-02 21:40,ノーマッド,https://wan2.bungo-stray-dogs-wan.com/
スーパーの裏でヤニ吸うふたり,ABEMA,2026-07-09 11:56,旭プロダクション,https://yanisuu.com/
スーパーの裏でヤニ吸うふたり,Netflix,2026-07-10 00:30,旭プロダクション,https://yanisuu.com/
スーパーの裏でヤニ吸うふたり,Prime Video,2026-07-10 00:30,旭プロダクション,https://yanisuu.com/
スーパーの裏でヤニ吸うふたり,U-NEXT,2026-07-16 00:30,旭プロダクション,https://yanisuu.com/
スーパーの裏でヤニ吸うふたり,アニメ放題,2026-07-16 00:30,旭プロダクション,https://yanisuu.com/
スーパーの裏でヤニ吸うふたり,dアニメストア,2026-07-16 00:30,旭プロダクション,https://yanisuu.com/
スーパーの裏でヤニ吸うふたり,DMM TV,2026-07-16 00:30,旭プロダクション,https://yanisuu.com/
スーパーの裏でヤニ吸うふたり,AnimeFesta,2026-07-16 00:30,旭プロダクション,https://yanisuu.com/
鎧真伝サムライトルーパー 第2クール,Prime Video,2026-01-13 12:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,DMM TV,2026-06-28 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,dアニメストア,2026-07-08 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,U-NEXT,2026-07-08 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,アニメ放題,2026-07-08 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,ABEMA,2026-07-11 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,FOD,2026-07-11 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,バンダイチャンネル,2026-07-11 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー 第2クール,Lemino,2026-07-11 00:00,サンライズ,https://www.samurai-trooper.net/
君のことが大大大大大好きな100人の彼女 第3期,ABEMA,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,dアニメストア,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,アニメ放題,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,DMM TV,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,バンダイチャンネル,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,Hulu,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,Prime Video,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,U-NEXT,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
君のことが大大大大大好きな100人の彼女 第3期,FOD,2026-07-01 00:00,バイブリーアニメーションスタジオ,https://hyakkano.com/
世界最強の後衛 ～迷宮国の新人探索者～,ABEMA,2026-07-05 22:00,MAHO FILM,https://strongestrearguard-anime.com/
世界最強の後衛 ～迷宮国の新人探索者～,dアニメストア,2026-07-05 22:00,MAHO FILM,https://strongestrearguard-anime.com/
世界最強の後衛 ～迷宮国の新人探索者～,Prime Video,2026-07-05 22:00,MAHO FILM,https://strongestrearguard-anime.com/
世界最強の後衛 ～迷宮国の新人探索者～,バンダイチャンネル,2026-07-12 22:00,MAHO FILM,https://strongestrearguard-anime.com/
世界最強の後衛 ～迷宮国の新人探索者～,DMM TV,2026-07-12 22:00,MAHO FILM,https://strongestrearguard-anime.com/
領民０人スタートの辺境領主様,Prime Video,2026-06-28 17:00,animation studio42,https://ryomin0-anime.com/
才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様(生活能力皆無)を陰ながらお世話することになりました,ABEMA,2026-07-04 03:08,ブレインズ・ベース,https://saijonoosewa-anime.com/
才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様(生活能力皆無)を陰ながらお世話することになりました,U-NEXT,2026-07-04 03:08,ブレインズ・ベース,https://saijonoosewa-anime.com/
才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様(生活能力皆無)を陰ながらお世話することになりました,アニメ放題,2026-07-04 03:08,ブレインズ・ベース,https://saijonoosewa-anime.com/
才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様(生活能力皆無)を陰ながらお世話することになりました,アニメタイムズ,2026-07-09 03:08,ブレインズ・ベース,https://saijonoosewa-anime.com/
鬼の花嫁,ABEMA,2026-07-04 00:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,dアニメストア,2026-07-04 00:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,U-NEXT,2026-07-04 00:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,アニメ放題,2026-07-04 00:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,Prime Video,2026-07-04 00:30,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,Netflix,2026-07-04 12:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,Lemino,2026-07-07 12:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,Hulu,2026-07-07 12:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,FOD,2026-07-07 12:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,アニメタイムズ,2026-07-07 12:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,DMM TV,2026-07-07 12:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,AnimeFesta,2026-07-07 12:00,Colored Pencil Animation Japan,https://onihana-anime.com/
鬼の花嫁,バンダイチャンネル,2026-07-07 12:01,Colored Pencil Animation Japan,https://onihana-anime.com/
うしろの正面カムイさん,AnimeFesta,2026-07-03 00:00,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,dアニメストア,2026-07-03 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,U-NEXT,2026-07-03 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,アニメ放題,2026-07-03 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,DMM TV,2026-07-06 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,FOD,2026-07-06 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,アニメタイムズ,2026-07-06 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,ABEMA,2026-07-06 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,Lemino,2026-09-21 01:30,ゼロジー,https://kamuisan.deregula.com/
うしろの正面カムイさん,Prime Video,2026-09-21 01:30,ゼロジー,https://kamuisan.deregula.com/
パーフェクトアディクション,DMM TV,2026-06-11 00:00,Imagica Infos,https://animationid.com/perfectaddiction/
パーフェクトアディクション,AnimeFesta,2026-07-08 22:00,Imagica Infos,https://animationid.com/perfectaddiction/
パーフェクトアディクション,アニメタイムズ,2026-07-08 22:00,Imagica Infos,https://animationid.com/perfectaddiction/
パーフェクトアディクション,dアニメストア,2026-07-08 23:25,Imagica Infos,https://animationid.com/perfectaddiction/
パーフェクトアディクション,Prime Video,2026-07-11 00:00,Imagica Infos,https://animationid.com/perfectaddiction/
パーフェクトアディクション,U-NEXT,2026-07-11 00:00,Imagica Infos,https://animationid.com/perfectaddiction/
令和のダラさん,ABEMA,2026-07-02 22:00,旭プロダクション,https://darasan-anime.com/
令和のダラさん,dアニメストア,2026-07-02 22:00,旭プロダクション,https://darasan-anime.com/
令和のダラさん,AnimeFesta,2026-07-02 22:00,旭プロダクション,https://darasan-anime.com/
令和のダラさん,DMM TV,2026-07-07 22:00,旭プロダクション,https://darasan-anime.com/
令和のダラさん,Hulu,2026-07-07 22:00,旭プロダクション,https://darasan-anime.com/
ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！,dアニメストア,2026-06-24 00:00,EMTスクエアード,https://all-works-maid-anime.com/
ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！,ABEMA,2026-06-24 00:00,EMTスクエアード,https://all-works-maid-anime.com/
ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！,DMM TV,2026-06-24 22:30,EMTスクエアード,https://all-works-maid-anime.com/
ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！,Hulu,2026-07-08 22:00,EMTスクエアード,https://all-works-maid-anime.com/
ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！,Lemino,2026-07-08 22:00,EMTスクエアード,https://all-works-maid-anime.com/
